campagne,date,jour,variable,groupe,valeur,Année
2021-2022,2022-02-09,111,ACTE(VGP),65 ans et plus,690,2021
2021-2022,2022-02-09,111,DOSES(J07E1),65 ans et plus,788,2021
2021-2022,2022-02-09,111,ACTE(VGP),moins de 65 ans,453,2021
2021-2022,2022-02-09,111,DOSES(J07E1),moins de 65 ans,813,2021
2021-2022,2022-02-10,112,ACTE(VGP),65 ans et plus,733,2021
2021-2022,2022-02-10,112,DOSES(J07E1),65 ans et plus,964,2021
2021-2022,2022-02-10,112,ACTE(VGP),moins de 65 ans,473,2021
2021-2022,2022-02-10,112,DOSES(J07E1),moins de 65 ans,911,2021
2021-2022,2022-02-11,113,ACTE(VGP),65 ans et plus,733,2021
2021-2022,2022-02-11,113,DOSES(J07E1),65 ans et plus,958,2021
2021-2022,2022-02-11,113,ACTE(VGP),moins de 65 ans,360,2021
2021-2022,2022-02-11,113,DOSES(J07E1),moins de 65 ans,658,2021
2021-2022,2022-02-12,114,ACTE(VGP),65 ans et plus,328,2021
2021-2022,2022-02-12,114,DOSES(J07E1),65 ans et plus,500,2021
2021-2022,2022-02-12,114,ACTE(VGP),moins de 65 ans,192,2021
2021-2022,2022-02-12,114,DOSES(J07E1),moins de 65 ans,517,2021
2021-2022,2022-02-13,115,ACTE(VGP),65 ans et plus,125,2021
2021-2022,2022-02-13,115,DOSES(J07E1),65 ans et plus,254,2021
2021-2022,2022-02-13,115,ACTE(VGP),moins de 65 ans,32,2021
2021-2022,2022-02-13,115,DOSES(J07E1),moins de 65 ans,48,2021
2021-2022,2022-02-14,116,ACTE(VGP),65 ans et plus,651,2021
2021-2022,2022-02-14,116,DOSES(J07E1),65 ans et plus,654,2021
2021-2022,2022-02-14,116,ACTE(VGP),moins de 65 ans,397,2021
2021-2022,2022-02-14,116,DOSES(J07E1),moins de 65 ans,652,2021
2021-2022,2022-02-15,117,ACTE(VGP),65 ans et plus,643,2021
2021-2022,2022-02-15,117,DOSES(J07E1),65 ans et plus,656,2021
2021-2022,2022-02-15,117,ACTE(VGP),moins de 65 ans,417,2021
2021-2022,2022-02-15,117,DOSES(J07E1),moins de 65 ans,619,2021
2021-2022,2022-02-16,118,ACTE(VGP),65 ans et plus,773,2021
2021-2022,2022-02-16,118,DOSES(J07E1),65 ans et plus,443,2021
2021-2022,2022-02-16,118,ACTE(VGP),moins de 65 ans,337,2021
2021-2022,2022-02-16,118,DOSES(J07E1),moins de 65 ans,644,2021
2021-2022,2022-02-17,119,ACTE(VGP),65 ans et plus,620,2021
2021-2022,2022-02-17,119,DOSES(J07E1),65 ans et plus,706,2021
2021-2022,2022-02-17,119,ACTE(VGP),moins de 65 ans,419,2021
2021-2022,2022-02-17,119,DOSES(J07E1),moins de 65 ans,695,2021
2021-2022,2022-02-18,120,ACTE(VGP),65 ans et plus,714,2021
2021-2022,2022-02-18,120,DOSES(J07E1),65 ans et plus,1177,2021
2021-2022,2022-02-18,120,ACTE(VGP),moins de 65 ans,399,2021
2021-2022,2022-02-18,120,DOSES(J07E1),moins de 65 ans,737,2021
2021-2022,2022-02-19,121,ACTE(VGP),65 ans et plus,416,2021
2021-2022,2022-02-19,121,DOSES(J07E1),65 ans et plus,538,2021
2021-2022,2022-02-19,121,ACTE(VGP),moins de 65 ans,235,2021
2021-2022,2022-02-19,121,DOSES(J07E1),moins de 65 ans,373,2021
2021-2022,2022-02-20,122,ACTE(VGP),65 ans et plus,45,2021
2021-2022,2022-02-20,122,DOSES(J07E1),65 ans et plus,13,2021
2021-2022,2022-02-20,122,ACTE(VGP),moins de 65 ans,28,2021
2021-2022,2022-02-20,122,DOSES(J07E1),moins de 65 ans,30,2021
2021-2022,2022-02-21,123,ACTE(VGP),65 ans et plus,734,2021
2021-2022,2022-02-21,123,DOSES(J07E1),65 ans et plus,795,2021
2021-2022,2022-02-21,123,ACTE(VGP),moins de 65 ans,412,2021
2021-2022,2022-02-21,123,DOSES(J07E1),moins de 65 ans,662,2021
2021-2022,2022-02-22,124,ACTE(VGP),65 ans et plus,562,2021
2021-2022,2022-02-22,124,DOSES(J07E1),65 ans et plus,752,2021
2021-2022,2022-02-22,124,ACTE(VGP),moins de 65 ans,363,2021
2021-2022,2022-02-22,124,DOSES(J07E1),moins de 65 ans,695,2021
2021-2022,2022-02-23,125,ACTE(VGP),65 ans et plus,573,2021
2021-2022,2022-02-23,125,DOSES(J07E1),65 ans et plus,1040,2021
2021-2022,2022-02-23,125,ACTE(VGP),moins de 65 ans,374,2021
2021-2022,2022-02-23,125,DOSES(J07E1),moins de 65 ans,733,2021
2021-2022,2022-02-24,126,ACTE(VGP),65 ans et plus,534,2021
2021-2022,2022-02-24,126,DOSES(J07E1),65 ans et plus,675,2021
2021-2022,2022-02-24,126,ACTE(VGP),moins de 65 ans,319,2021
2021-2022,2022-02-24,126,DOSES(J07E1),moins de 65 ans,583,2021
2021-2022,2022-02-25,127,ACTE(VGP),65 ans et plus,652,2021
2021-2022,2022-02-25,127,DOSES(J07E1),65 ans et plus,521,2021
2021-2022,2022-02-25,127,ACTE(VGP),moins de 65 ans,335,2021
2021-2022,2022-02-25,127,DOSES(J07E1),moins de 65 ans,517,2021
2021-2022,2022-02-26,128,ACTE(VGP),65 ans et plus,205,2021
2021-2022,2022-02-26,128,DOSES(J07E1),65 ans et plus,678,2021
2021-2022,2022-02-26,128,ACTE(VGP),moins de 65 ans,169,2021
2021-2022,2022-02-26,128,DOSES(J07E1),moins de 65 ans,265,2021
2021-2022,2022-02-27,129,ACTE(VGP),65 ans et plus,82,2021
2021-2022,2022-02-27,129,DOSES(J07E1),65 ans et plus,72,2021
2021-2022,2022-02-27,129,ACTE(VGP),moins de 65 ans,21,2021
2021-2022,2022-02-27,129,DOSES(J07E1),moins de 65 ans,44,2021
2021-2022,2022-02-28,130,ACTE(VGP),65 ans et plus,530,2021
2021-2022,2022-02-28,130,DOSES(J07E1),65 ans et plus,1150,2021
2021-2022,2022-02-28,130,ACTE(VGP),moins de 65 ans,289,2021
2021-2022,2022-02-28,130,DOSES(J07E1),moins de 65 ans,736,2021
2021-2022,2021-10-22,1,ACTE(VGP),65 ans et plus,117217,2022
2021-2022,2021-10-22,1,DOSES(J07E1),65 ans et plus,567525,2022
2021-2022,2021-10-22,1,ACTE(VGP),moins de 65 ans,24537,2022
2021-2022,2021-10-22,1,DOSES(J07E1),moins de 65 ans,111876,2022
2021-2022,2021-10-23,2,ACTE(VGP),65 ans et plus,42728,2022
2021-2022,2021-10-23,2,DOSES(J07E1),65 ans et plus,234990,2022
2021-2022,2021-10-23,2,ACTE(VGP),moins de 65 ans,12205,2022
2021-2022,2021-10-23,2,DOSES(J07E1),moins de 65 ans,54861,2022
2021-2022,2021-10-24,3,ACTE(VGP),65 ans et plus,351,2022
2021-2022,2021-10-24,3,DOSES(J07E1),65 ans et plus,2005,2022
2021-2022,2021-10-24,3,ACTE(VGP),moins de 65 ans,167,2022
2021-2022,2021-10-24,3,DOSES(J07E1),moins de 65 ans,668,2022
2021-2022,2021-10-25,4,ACTE(VGP),65 ans et plus,110893,2022
2021-2022,2021-10-25,4,DOSES(J07E1),65 ans et plus,385369,2022
2021-2022,2021-10-25,4,ACTE(VGP),moins de 65 ans,21386,2022
2021-2022,2021-10-25,4,DOSES(J07E1),moins de 65 ans,77941,2022
2021-2022,2021-10-26,5,ACTE(VGP),65 ans et plus,184509,2022
2021-2022,2021-10-26,5,DOSES(J07E1),65 ans et plus,604048,2022
2021-2022,2021-10-26,5,ACTE(VGP),moins de 65 ans,37721,2022
2021-2022,2021-10-26,5,DOSES(J07E1),moins de 65 ans,121794,2022
2021-2022,2021-10-27,6,ACTE(VGP),65 ans et plus,127418,2022
2021-2022,2021-10-27,6,DOSES(J07E1),65 ans et plus,406922,2022
2021-2022,2021-10-27,6,ACTE(VGP),moins de 65 ans,26888,2022
2021-2022,2021-10-27,6,DOSES(J07E1),moins de 65 ans,86346,2022
2021-2022,2021-10-28,7,ACTE(VGP),65 ans et plus,115587,2022
2021-2022,2021-10-28,7,DOSES(J07E1),65 ans et plus,344925,2022
2021-2022,2021-10-28,7,ACTE(VGP),moins de 65 ans,24361,2022
2021-2022,2021-10-28,7,DOSES(J07E1),moins de 65 ans,74740,2022
2021-2022,2021-10-29,8,ACTE(VGP),65 ans et plus,102452,2022
2021-2022,2021-10-29,8,DOSES(J07E1),65 ans et plus,303682,2022
2021-2022,2021-10-29,8,ACTE(VGP),moins de 65 ans,24371,2022
2021-2022,2021-10-29,8,DOSES(J07E1),moins de 65 ans,72756,2022
2021-2022,2021-10-30,9,ACTE(VGP),65 ans et plus,35504,2022
2021-2022,2021-10-30,9,DOSES(J07E1),65 ans et plus,141989,2022
2021-2022,2021-10-30,9,ACTE(VGP),moins de 65 ans,14001,2022
2021-2022,2021-10-30,9,DOSES(J07E1),moins de 65 ans,44674,2022
2021-2022,2021-10-31,10,ACTE(VGP),65 ans et plus,464,2022
2021-2022,2021-10-31,10,DOSES(J07E1),65 ans et plus,1500,2022
2021-2022,2021-10-31,10,ACTE(VGP),moins de 65 ans,172,2022
2021-2022,2021-10-31,10,DOSES(J07E1),moins de 65 ans,579,2022
2021-2022,2021-11-01,11,ACTE(VGP),65 ans et plus,852,2022
2021-2022,2021-11-01,11,DOSES(J07E1),65 ans et plus,2401,2022
2021-2022,2021-11-01,11,ACTE(VGP),moins de 65 ans,313,2022
2021-2022,2021-11-01,11,DOSES(J07E1),moins de 65 ans,854,2022
2021-2022,2021-11-02,12,ACTE(VGP),65 ans et plus,151892,2022
2021-2022,2021-11-02,12,DOSES(J07E1),65 ans et plus,399202,2022
2021-2022,2021-11-02,12,ACTE(VGP),moins de 65 ans,28909,2022
2021-2022,2021-11-02,12,DOSES(J07E1),moins de 65 ans,82752,2022
2021-2022,2021-11-03,13,ACTE(VGP),65 ans et plus,132283,2022
2021-2022,2021-11-03,13,DOSES(J07E1),65 ans et plus,337307,2022
2021-2022,2021-11-03,13,ACTE(VGP),moins de 65 ans,25122,2022
2021-2022,2021-11-03,13,DOSES(J07E1),moins de 65 ans,73352,2022
2021-2022,2021-11-04,14,ACTE(VGP),65 ans et plus,124827,2022
2021-2022,2021-11-04,14,DOSES(J07E1),65 ans et plus,306386,2022
2021-2022,2021-11-04,14,ACTE(VGP),moins de 65 ans,24211,2022
2021-2022,2021-11-04,14,DOSES(J07E1),moins de 65 ans,68462,2022
2021-2022,2021-11-05,15,ACTE(VGP),65 ans et plus,120242,2022
2021-2022,2021-11-05,15,DOSES(J07E1),65 ans et plus,287367,2022
2021-2022,2021-11-05,15,ACTE(VGP),moins de 65 ans,26376,2022
2021-2022,2021-11-05,15,DOSES(J07E1),moins de 65 ans,70877,2022
2021-2022,2021-11-06,16,ACTE(VGP),65 ans et plus,41072,2022
2021-2022,2021-11-06,16,DOSES(J07E1),65 ans et plus,134290,2022
2021-2022,2021-11-06,16,ACTE(VGP),moins de 65 ans,15313,2022
2021-2022,2021-11-06,16,DOSES(J07E1),moins de 65 ans,45852,2022
2021-2022,2021-11-07,17,ACTE(VGP),65 ans et plus,515,2022
2021-2022,2021-11-07,17,DOSES(J07E1),65 ans et plus,1257,2022
2021-2022,2021-11-07,17,ACTE(VGP),moins de 65 ans,163,2022
2021-2022,2021-11-07,17,DOSES(J07E1),moins de 65 ans,534,2022
2021-2022,2021-11-08,18,ACTE(VGP),65 ans et plus,131120,2022
2021-2022,2021-11-08,18,DOSES(J07E1),65 ans et plus,290012,2022
2021-2022,2021-11-08,18,ACTE(VGP),moins de 65 ans,25307,2022
2021-2022,2021-11-08,18,DOSES(J07E1),moins de 65 ans,68898,2022
2021-2022,2021-11-09,19,ACTE(VGP),65 ans et plus,144903,2022
2021-2022,2021-11-09,19,DOSES(J07E1),65 ans et plus,307027,2022
2021-2022,2021-11-09,19,ACTE(VGP),moins de 65 ans,25984,2022
2021-2022,2021-11-09,19,DOSES(J07E1),moins de 65 ans,69824,2022
2021-2022,2021-11-10,20,ACTE(VGP),65 ans et plus,125243,2022
2021-2022,2021-11-10,20,DOSES(J07E1),65 ans et plus,268875,2022
2021-2022,2021-11-10,20,ACTE(VGP),moins de 65 ans,26073,2022
2021-2022,2021-11-10,20,DOSES(J07E1),moins de 65 ans,71699,2022
2021-2022,2021-11-11,21,ACTE(VGP),65 ans et plus,1078,2022
2021-2022,2021-11-11,21,DOSES(J07E1),65 ans et plus,2678,2022
2021-2022,2021-11-11,21,ACTE(VGP),moins de 65 ans,408,2022
2021-2022,2021-11-11,21,DOSES(J07E1),moins de 65 ans,1196,2022
2021-2022,2021-11-12,22,ACTE(VGP),65 ans et plus,126354,2022
2021-2022,2021-11-12,22,DOSES(J07E1),65 ans et plus,261935,2022
2021-2022,2021-11-12,22,ACTE(VGP),moins de 65 ans,28142,2022
2021-2022,2021-11-12,22,DOSES(J07E1),moins de 65 ans,70635,2022
2021-2022,2021-11-13,23,ACTE(VGP),65 ans et plus,35947,2022
2021-2022,2021-11-13,23,DOSES(J07E1),65 ans et plus,101066,2022
2021-2022,2021-11-13,23,ACTE(VGP),moins de 65 ans,12773,2022
2021-2022,2021-11-13,23,DOSES(J07E1),moins de 65 ans,36667,2022
2021-2022,2021-11-14,24,ACTE(VGP),65 ans et plus,360,2022
2021-2022,2021-11-14,24,DOSES(J07E1),65 ans et plus,1064,2022
2021-2022,2021-11-14,24,ACTE(VGP),moins de 65 ans,213,2022
2021-2022,2021-11-14,24,DOSES(J07E1),moins de 65 ans,586,2022
2021-2022,2021-11-15,25,ACTE(VGP),65 ans et plus,117396,2022
2021-2022,2021-11-15,25,DOSES(J07E1),65 ans et plus,230292,2022
2021-2022,2021-11-15,25,ACTE(VGP),moins de 65 ans,23842,2022
2021-2022,2021-11-15,25,DOSES(J07E1),moins de 65 ans,61887,2022
2021-2022,2021-11-16,26,ACTE(VGP),65 ans et plus,125888,2022
2021-2022,2021-11-16,26,DOSES(J07E1),65 ans et plus,240472,2022
2021-2022,2021-11-16,26,ACTE(VGP),moins de 65 ans,24456,2022
2021-2022,2021-11-16,26,DOSES(J07E1),moins de 65 ans,64631,2022
2021-2022,2021-11-17,27,ACTE(VGP),65 ans et plus,92746,2022
2021-2022,2021-11-17,27,DOSES(J07E1),65 ans et plus,184207,2022
2021-2022,2021-11-17,27,ACTE(VGP),moins de 65 ans,21064,2022
2021-2022,2021-11-17,27,DOSES(J07E1),moins de 65 ans,58361,2022
2021-2022,2021-11-18,28,ACTE(VGP),65 ans et plus,91857,2022
2021-2022,2021-11-18,28,DOSES(J07E1),65 ans et plus,174239,2022
2021-2022,2021-11-18,28,ACTE(VGP),moins de 65 ans,20834,2022
2021-2022,2021-11-18,28,DOSES(J07E1),moins de 65 ans,55015,2022
2021-2022,2021-11-19,29,ACTE(VGP),65 ans et plus,80696,2022
2021-2022,2021-11-19,29,DOSES(J07E1),65 ans et plus,151235,2022
2021-2022,2021-11-19,29,ACTE(VGP),moins de 65 ans,22749,2022
2021-2022,2021-11-19,29,DOSES(J07E1),moins de 65 ans,56755,2022
2021-2022,2021-11-20,30,ACTE(VGP),65 ans et plus,24327,2022
2021-2022,2021-11-20,30,DOSES(J07E1),65 ans et plus,62566,2022
2021-2022,2021-11-20,30,ACTE(VGP),moins de 65 ans,13726,2022
2021-2022,2021-11-20,30,DOSES(J07E1),moins de 65 ans,38569,2022
2021-2022,2021-11-21,31,ACTE(VGP),65 ans et plus,292,2022
2021-2022,2021-11-21,31,DOSES(J07E1),65 ans et plus,771,2022
2021-2022,2021-11-21,31,ACTE(VGP),moins de 65 ans,143,2022
2021-2022,2021-11-21,31,DOSES(J07E1),moins de 65 ans,480,2022
2021-2022,2021-11-22,32,ACTE(VGP),65 ans et plus,75255,2022
2021-2022,2021-11-22,32,DOSES(J07E1),65 ans et plus,139859,2022
2021-2022,2021-11-22,32,ACTE(VGP),moins de 65 ans,28861,2022
2021-2022,2021-11-22,32,DOSES(J07E1),moins de 65 ans,82538,2022
2021-2022,2021-11-23,33,ACTE(VGP),65 ans et plus,80437,2022
2021-2022,2021-11-23,33,DOSES(J07E1),65 ans et plus,145563,2022
2021-2022,2021-11-23,33,ACTE(VGP),moins de 65 ans,31783,2022
2021-2022,2021-11-23,33,DOSES(J07E1),moins de 65 ans,85607,2022
2021-2022,2021-11-24,34,ACTE(VGP),65 ans et plus,58897,2022
2021-2022,2021-11-24,34,DOSES(J07E1),65 ans et plus,108954,2022
2021-2022,2021-11-24,34,ACTE(VGP),moins de 65 ans,25243,2022
2021-2022,2021-11-24,34,DOSES(J07E1),moins de 65 ans,68446,2022
2021-2022,2021-11-25,35,ACTE(VGP),65 ans et plus,58293,2022
2021-2022,2021-11-25,35,DOSES(J07E1),65 ans et plus,105921,2022
2021-2022,2021-11-25,35,ACTE(VGP),moins de 65 ans,24659,2022
2021-2022,2021-11-25,35,DOSES(J07E1),moins de 65 ans,62553,2022
2021-2022,2021-11-26,36,ACTE(VGP),65 ans et plus,56424,2022
2021-2022,2021-11-26,36,DOSES(J07E1),65 ans et plus,99072,2022
2021-2022,2021-11-26,36,ACTE(VGP),moins de 65 ans,28494,2022
2021-2022,2021-11-26,36,DOSES(J07E1),moins de 65 ans,67379,2022
2021-2022,2021-11-27,37,ACTE(VGP),65 ans et plus,16010,2022
2021-2022,2021-11-27,37,DOSES(J07E1),65 ans et plus,38724,2022
2021-2022,2021-11-27,37,ACTE(VGP),moins de 65 ans,17077,2022
2021-2022,2021-11-27,37,DOSES(J07E1),moins de 65 ans,42211,2022
2021-2022,2021-11-28,38,ACTE(VGP),65 ans et plus,312,2022
2021-2022,2021-11-28,38,DOSES(J07E1),65 ans et plus,593,2022
2021-2022,2021-11-28,38,ACTE(VGP),moins de 65 ans,241,2022
2021-2022,2021-11-28,38,DOSES(J07E1),moins de 65 ans,638,2022
2021-2022,2021-11-29,39,ACTE(VGP),65 ans et plus,47378,2022
2021-2022,2021-11-29,39,DOSES(J07E1),65 ans et plus,86001,2022
2021-2022,2021-11-29,39,ACTE(VGP),moins de 65 ans,21273,2022
2021-2022,2021-11-29,39,DOSES(J07E1),moins de 65 ans,51357,2022
2021-2022,2021-11-30,40,ACTE(VGP),65 ans et plus,54192,2022
2021-2022,2021-11-30,40,DOSES(J07E1),65 ans et plus,94850,2022
2021-2022,2021-11-30,40,ACTE(VGP),moins de 65 ans,21188,2022
2021-2022,2021-11-30,40,DOSES(J07E1),moins de 65 ans,50213,2022
2021-2022,2021-12-01,41,ACTE(VGP),65 ans et plus,40252,2022
2021-2022,2021-12-01,41,DOSES(J07E1),65 ans et plus,71523,2022
2021-2022,2021-12-01,41,ACTE(VGP),moins de 65 ans,17357,2022
2021-2022,2021-12-01,41,DOSES(J07E1),moins de 65 ans,42202,2022
2021-2022,2021-12-02,42,ACTE(VGP),65 ans et plus,40202,2022
2021-2022,2021-12-02,42,DOSES(J07E1),65 ans et plus,70914,2022
2021-2022,2021-12-02,42,ACTE(VGP),moins de 65 ans,16056,2022
2021-2022,2021-12-02,42,DOSES(J07E1),moins de 65 ans,37999,2022
2021-2022,2021-12-03,43,ACTE(VGP),65 ans et plus,34194,2022
2021-2022,2021-12-03,43,DOSES(J07E1),65 ans et plus,59561,2022
2021-2022,2021-12-03,43,ACTE(VGP),moins de 65 ans,16513,2022
2021-2022,2021-12-03,43,DOSES(J07E1),moins de 65 ans,37171,2022
2021-2022,2021-12-04,44,ACTE(VGP),65 ans et plus,10634,2022
2021-2022,2021-12-04,44,DOSES(J07E1),65 ans et plus,24530,2022
2021-2022,2021-12-04,44,ACTE(VGP),moins de 65 ans,9942,2022
2021-2022,2021-12-04,44,DOSES(J07E1),moins de 65 ans,23973,2022
2021-2022,2021-12-05,45,ACTE(VGP),65 ans et plus,285,2022
2021-2022,2021-12-05,45,DOSES(J07E1),65 ans et plus,401,2022
2021-2022,2021-12-05,45,ACTE(VGP),moins de 65 ans,197,2022
2021-2022,2021-12-05,45,DOSES(J07E1),moins de 65 ans,432,2022
2021-2022,2021-12-06,46,ACTE(VGP),65 ans et plus,29296,2022
2021-2022,2021-12-06,46,DOSES(J07E1),65 ans et plus,50507,2022
2021-2022,2021-12-06,46,ACTE(VGP),moins de 65 ans,12567,2022
2021-2022,2021-12-06,46,DOSES(J07E1),moins de 65 ans,29396,2022
2021-2022,2021-12-07,47,ACTE(VGP),65 ans et plus,31680,2022
2021-2022,2021-12-07,47,DOSES(J07E1),65 ans et plus,53490,2022
2021-2022,2021-12-07,47,ACTE(VGP),moins de 65 ans,12364,2022
2021-2022,2021-12-07,47,DOSES(J07E1),moins de 65 ans,28612,2022
2021-2022,2021-12-08,48,ACTE(VGP),65 ans et plus,24589,2022
2021-2022,2021-12-08,48,DOSES(J07E1),65 ans et plus,42804,2022
2021-2022,2021-12-08,48,ACTE(VGP),moins de 65 ans,10433,2022
2021-2022,2021-12-08,48,DOSES(J07E1),moins de 65 ans,24950,2022
2021-2022,2021-12-09,49,ACTE(VGP),65 ans et plus,24579,2022
2021-2022,2021-12-09,49,DOSES(J07E1),65 ans et plus,41890,2022
2021-2022,2021-12-09,49,ACTE(VGP),moins de 65 ans,10329,2022
2021-2022,2021-12-09,49,DOSES(J07E1),moins de 65 ans,23967,2022
2021-2022,2021-12-10,50,ACTE(VGP),65 ans et plus,21662,2022
2021-2022,2021-12-10,50,DOSES(J07E1),65 ans et plus,36819,2022
2021-2022,2021-12-10,50,ACTE(VGP),moins de 65 ans,10506,2022
2021-2022,2021-12-10,50,DOSES(J07E1),moins de 65 ans,24127,2022
2021-2022,2021-12-11,51,ACTE(VGP),65 ans et plus,7552,2022
2021-2022,2021-12-11,51,DOSES(J07E1),65 ans et plus,16385,2022
2021-2022,2021-12-11,51,ACTE(VGP),moins de 65 ans,6130,2022
2021-2022,2021-12-11,51,DOSES(J07E1),moins de 65 ans,15093,2022
2021-2022,2021-12-12,52,ACTE(VGP),65 ans et plus,208,2022
2021-2022,2021-12-12,52,DOSES(J07E1),65 ans et plus,405,2022
2021-2022,2021-12-12,52,ACTE(VGP),moins de 65 ans,240,2022
2021-2022,2021-12-12,52,DOSES(J07E1),moins de 65 ans,436,2022
2021-2022,2021-12-13,53,ACTE(VGP),65 ans et plus,20092,2022
2021-2022,2021-12-13,53,DOSES(J07E1),65 ans et plus,33307,2022
2021-2022,2021-12-13,53,ACTE(VGP),moins de 65 ans,8671,2022
2021-2022,2021-12-13,53,DOSES(J07E1),moins de 65 ans,19549,2022
2021-2022,2021-12-14,54,ACTE(VGP),65 ans et plus,21249,2022
2021-2022,2021-12-14,54,DOSES(J07E1),65 ans et plus,34808,2022
2021-2022,2021-12-14,54,ACTE(VGP),moins de 65 ans,8565,2022
2021-2022,2021-12-14,54,DOSES(J07E1),moins de 65 ans,18843,2022
2021-2022,2021-12-15,55,ACTE(VGP),65 ans et plus,17452,2022
2021-2022,2021-12-15,55,DOSES(J07E1),65 ans et plus,29021,2022
2021-2022,2021-12-15,55,ACTE(VGP),moins de 65 ans,7465,2022
2021-2022,2021-12-15,55,DOSES(J07E1),moins de 65 ans,17122,2022
2021-2022,2021-12-16,56,ACTE(VGP),65 ans et plus,17971,2022
2021-2022,2021-12-16,56,DOSES(J07E1),65 ans et plus,29752,2022
2021-2022,2021-12-16,56,ACTE(VGP),moins de 65 ans,7764,2022
2021-2022,2021-12-16,56,DOSES(J07E1),moins de 65 ans,17057,2022
2021-2022,2021-12-17,57,ACTE(VGP),65 ans et plus,16021,2022
2021-2022,2021-12-17,57,DOSES(J07E1),65 ans et plus,25799,2022
2021-2022,2021-12-17,57,ACTE(VGP),moins de 65 ans,8071,2022
2021-2022,2021-12-17,57,DOSES(J07E1),moins de 65 ans,16882,2022
2021-2022,2021-12-18,58,ACTE(VGP),65 ans et plus,5682,2022
2021-2022,2021-12-18,58,DOSES(J07E1),65 ans et plus,11240,2022
2021-2022,2021-12-18,58,ACTE(VGP),moins de 65 ans,4705,2022
2021-2022,2021-12-18,58,DOSES(J07E1),moins de 65 ans,10627,2022
2021-2022,2021-12-19,59,ACTE(VGP),65 ans et plus,213,2022
2021-2022,2021-12-19,59,DOSES(J07E1),65 ans et plus,445,2022
2021-2022,2021-12-19,59,ACTE(VGP),moins de 65 ans,229,2022
2021-2022,2021-12-19,59,DOSES(J07E1),moins de 65 ans,352,2022
2021-2022,2021-12-20,60,ACTE(VGP),65 ans et plus,11934,2022
2021-2022,2021-12-20,60,DOSES(J07E1),65 ans et plus,19224,2022
2021-2022,2021-12-20,60,ACTE(VGP),moins de 65 ans,6615,2022
2021-2022,2021-12-20,60,DOSES(J07E1),moins de 65 ans,13995,2022
2021-2022,2021-12-21,61,ACTE(VGP),65 ans et plus,11360,2022
2021-2022,2021-12-21,61,DOSES(J07E1),65 ans et plus,18337,2022
2021-2022,2021-12-21,61,ACTE(VGP),moins de 65 ans,5959,2022
2021-2022,2021-12-21,61,DOSES(J07E1),moins de 65 ans,12649,2022
2021-2022,2021-12-22,62,ACTE(VGP),65 ans et plus,8082,2022
2021-2022,2021-12-22,62,DOSES(J07E1),65 ans et plus,13733,2022
2021-2022,2021-12-22,62,ACTE(VGP),moins de 65 ans,4898,2022
2021-2022,2021-12-22,62,DOSES(J07E1),moins de 65 ans,10752,2022
2021-2022,2021-12-23,63,ACTE(VGP),65 ans et plus,6755,2022
2021-2022,2021-12-23,63,DOSES(J07E1),65 ans et plus,11948,2022
2021-2022,2021-12-23,63,ACTE(VGP),moins de 65 ans,4028,2022
2021-2022,2021-12-23,63,DOSES(J07E1),moins de 65 ans,9887,2022
2021-2022,2021-12-24,64,ACTE(VGP),65 ans et plus,2660,2022
2021-2022,2021-12-24,64,DOSES(J07E1),65 ans et plus,6514,2022
2021-2022,2021-12-24,64,ACTE(VGP),moins de 65 ans,1968,2022
2021-2022,2021-12-24,64,DOSES(J07E1),moins de 65 ans,5834,2022
2021-2022,2021-12-25,65,ACTE(VGP),65 ans et plus,38,2022
2021-2022,2021-12-25,65,DOSES(J07E1),65 ans et plus,152,2022
2021-2022,2021-12-25,65,ACTE(VGP),moins de 65 ans,26,2022
2021-2022,2021-12-25,65,DOSES(J07E1),moins de 65 ans,62,2022
2021-2022,2021-12-26,66,ACTE(VGP),65 ans et plus,171,2022
2021-2022,2021-12-26,66,DOSES(J07E1),65 ans et plus,399,2022
2021-2022,2021-12-26,66,ACTE(VGP),moins de 65 ans,87,2022
2021-2022,2021-12-26,66,DOSES(J07E1),moins de 65 ans,146,2022
2021-2022,2021-12-27,67,ACTE(VGP),65 ans et plus,6779,2022
2021-2022,2021-12-27,67,DOSES(J07E1),65 ans et plus,11137,2022
2021-2022,2021-12-27,67,ACTE(VGP),moins de 65 ans,4229,2022
2021-2022,2021-12-27,67,DOSES(J07E1),moins de 65 ans,8889,2022
2021-2022,2021-12-28,68,ACTE(VGP),65 ans et plus,7259,2022
2021-2022,2021-12-28,68,DOSES(J07E1),65 ans et plus,11737,2022
2021-2022,2021-12-28,68,ACTE(VGP),moins de 65 ans,4187,2022
2021-2022,2021-12-28,68,DOSES(J07E1),moins de 65 ans,8504,2022
2021-2022,2021-12-29,69,ACTE(VGP),65 ans et plus,5834,2022
2021-2022,2021-12-29,69,DOSES(J07E1),65 ans et plus,10042,2022
2021-2022,2021-12-29,69,ACTE(VGP),moins de 65 ans,3566,2022
2021-2022,2021-12-29,69,DOSES(J07E1),moins de 65 ans,7489,2022
2021-2022,2021-12-30,70,ACTE(VGP),65 ans et plus,5312,2022
2021-2022,2021-12-30,70,DOSES(J07E1),65 ans et plus,9370,2022
2021-2022,2021-12-30,70,ACTE(VGP),moins de 65 ans,3348,2022
2021-2022,2021-12-30,70,DOSES(J07E1),moins de 65 ans,7215,2022
2021-2022,2021-12-31,71,ACTE(VGP),65 ans et plus,2433,2022
